[2024-06-24 03:02:07] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:02:12] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:02:21] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:02:37] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:07:09] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:07:41] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:07:58] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:07] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:11] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:13] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:15] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:17] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:20] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:23] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:25] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-24 03:08:27] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-06-27 19:26:30] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics.php:154] | No topics found
[2024-07-06 19:57:13] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 19:57:23] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 19:58:43] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 19:59:39] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:01:34] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:02:22] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:02:28] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
[2024-07-06 20:09:31] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\fill-table-ver-topic.php:69] | No hay cursos registrados
